Ano,Campeão,Vice,3º Lugar,4º Lugar,17º (Rebaixado),18º (Rebaixado),19º (Rebaixado),20º (Rebaixado)
1,Flamengo,São Paulo,Palmeiras,Cruzeiro,Vasco da Gama,Sport,Guarani,São Caetano
2,Corinthians,São Paulo,Palmeiras,Fluminense,Red Bull Bragantino,Goiás,Portuguesa,Volta Redonda
3,Flamengo,Palmeiras,Corinthians,Cruzeiro,Ponte Preta,Figueirense,Bahia,Criciúma
4,Palmeiras,Botafogo,Flamengo,Cruzeiro,Grêmio Barueri,Goiás,Coritiba,Portuguesa
5,Flamengo,Palmeiras,Internacional,São Paulo,Athletico Paranaense,Vitória,Santo André,Sport
6,Flamengo,Palmeiras,São Paulo,Atlético Mineiro,Santos,Portuguesa,Red Bull Bragantino,Mirassol
7,Flamengo,Palmeiras,Corinthians,Santos,Santo André,Brasil de Pelotas,Fortaleza,Chapecoense
8,Flamengo,Palmeiras,Santos,Cruzeiro,Avaí,Red Bull Bragantino,Criciúma,Grêmio Prudente
9,Flamengo,Corinthians,Palmeiras,Cruzeiro,Ponte Preta,Santo André,São Caetano,Coritiba
10,Palmeiras,Flamengo,Cruzeiro,Corinthians,Paraná,Criciúma,Botafogo-SP,Ceará
11,Flamengo,São Paulo,Palmeiras,Cruzeiro,Coritiba,Avaí,Volta Redonda,Goiás
12,Flamengo,Palmeiras,Cruzeiro,Athletico Paranaense,Santo André,Red Bull Bragantino,São Caetano,Juventude
13,Flamengo,Palmeiras,Corinthians,Cruzeiro,Atlético Goianiense,Grêmio,Athletico Paranaense,Sport
14,Corinthians,Palmeiras,Flamengo,Cruzeiro,Figueirense,Juventude,Goiás,Coritiba
15,Flamengo,Palmeiras,Corinthians,São Paulo,Botafogo,Portuguesa,Mirassol,Volta Redonda
16,Palmeiras,Flamengo,Cruzeiro,Corinthians,Red Bull Bragantino,Manaus FC,Botafogo-SP,Sport
17,Palmeiras,Flamengo,São Paulo,Atlético Mineiro,Grêmio Prudente,Athletico Paranaense,Goiás,Coritiba
18,Flamengo,Cruzeiro,Palmeiras,São Paulo,Operário Ferroviário,Chapecoense,Santa Cruz,Figueirense
19,Flamengo,Palmeiras,São Paulo,Atlético Mineiro,Ponte Preta,Mirassol,Ceará,Sport
20,Palmeiras,Flamengo,Corinthians,São Paulo,Ypiranga-RS,Athletico Paranaense,Avaí,Joinville
21,Flamengo,Palmeiras,Corinthians,São Paulo,Ponte Preta,Juventude,Cruzeiro,Figueirense
22,Corinthians,Palmeiras,Flamengo,São Paulo,Brasil de Pelotas,Mirassol,Vitória,Portuguesa
23,Palmeiras,Corinthians,Atlético Mineiro,Flamengo,Athletico Paranaense,Sport,Bahia,Joinville
24,Palmeiras,Flamengo,Corinthians,Internacional,Santos,Cuiabá,São Caetano,Botafogo-SP
25,Palmeiras,Flamengo,Cruzeiro,São Paulo,Ponte Preta,Santo André,Chapecoense,Vasco da Gama
26,São Paulo,Fluminense,Flamengo,Palmeiras,Coritiba,Atlético Mineiro,Santa Cruz,Goiás
27,Flamengo,São Paulo,Palmeiras,Grêmio,Athletico Paranaense,Red Bull Bragantino,Paraná,Portuguesa
28,Flamengo,Palmeiras,São Paulo,Cruzeiro,Chapecoense,Sport,Bahia,Brasil de Pelotas
29,Palmeiras,Flamengo,Santos,Mirassol,Grêmio,Náutico,Red Bull Bragantino,Ponte Preta
30,Flamengo,Cruzeiro,Corinthians,Palmeiras,Grêmio Prudente,Avaí,Santo André,Grêmio Barueri
31,Flamengo,Palmeiras,Cruzeiro,Corinthians,Goiás,São Caetano,Operário Ferroviário,Cuiabá
32,Flamengo,Palmeiras,Corinthians,São Paulo,Grêmio Barueri,América Mineiro,Vitória,Portuguesa
33,Flamengo,Palmeiras,Fluminense,Corinthians,Botafogo,São Caetano,Grêmio,Atlético Mineiro
34,Flamengo,Corinthians,Palmeiras,São Paulo,Ferroviário,Mirassol,Sport,Operário Ferroviário
35,São Paulo,Palmeiras,Cruzeiro,Santos,Athletico Paranaense,Internacional,América Mineiro,Cuiabá
36,Flamengo,Palmeiras,Corinthians,Cruzeiro,Goiás,Guarani,Grêmio Barueri,Paraná
37,Palmeiras,São Paulo,Flamengo,Corinthians,Náutico,Mirassol,Portuguesa,Sport
38,Palmeiras,Flamengo,Internacional,Corinthians,Guarani,Fortaleza,Grêmio Prudente,Brasiliense
39,Flamengo,Palmeiras,Corinthians,Cruzeiro,Sport,Santo André,Atlético Mineiro,Operário Ferroviário
40,Flamengo,São Paulo,Palmeiras,Corinthians,Sport,Goiás,Brasil de Pelotas,Grêmio Prudente
41,Flamengo,Corinthians,Palmeiras,Santos,Internacional,Coritiba,Paraná,Náutico
42,Palmeiras,Corinthians,Flamengo,Santos,Internacional,São Caetano,Atlético Mineiro,Ponte Preta
43,São Paulo,Flamengo,Palmeiras,Goiás,CSA,Sport,América Mineiro,Ipatinga
44,Corinthians,Flamengo,Palmeiras,Grêmio,Cruzeiro,Botafogo,Goiás,Brasil de Pelotas
45,Flamengo,Palmeiras,Atlético Mineiro,Corinthians,São Caetano,Mirassol,Avaí,Ponte Preta
46,Flamengo,Internacional,Palmeiras,São Paulo,Grêmio,Fortaleza,Coritiba,Bahia
47,Palmeiras,Corinthians,Flamengo,Santos,Botafogo-SP,Fluminense,Atlético Goianiense,Criciúma
48,Flamengo,Palmeiras,São Paulo,Corinthians,Grêmio,Sport,Figueirense,Londrina
49,Palmeiras,Flamengo,São Paulo,Corinthians,Paraná,Mirassol,Athletico Paranaense,Bahia
50,Palmeiras,Flamengo,São Paulo,Cruzeiro,Avaí,Santo André,Volta Redonda,Grêmio Prudente
51,Palmeiras,Santos,Flamengo,Corinthians,São Paulo,Athletico Paranaense,Internacional,Fortaleza
52,Palmeiras,Flamengo,Grêmio,Cruzeiro,Red Bull Bragantino,Juventude,Operário Ferroviário,Vasco da Gama
53,Palmeiras,Flamengo,Corinthians,Santos,Mirassol,Brasiliense,Londrina,São Caetano
54,Palmeiras,Flamengo,São Paulo,Vasco da Gama,Mirassol,Ypiranga-RS,Chapecoense,Figueirense
55,Flamengo,Palmeiras,Corinthians,Cruzeiro,Atlético Mineiro,Guarani,Botafogo-SP,Grêmio Prudente
56,Flamengo,Palmeiras,Cruzeiro,Santos,Vasco da Gama,Coritiba,Goiás,Athletico Paranaense
57,Palmeiras,Corinthians,Flamengo,Atlético Mineiro,Atlético Goianiense,Internacional,Operário Ferroviário,Paysandu
58,Flamengo,Palmeiras,Corinthians,Volta Redonda,Botafogo,Red Bull Bragantino,Grêmio,Criciúma
59,Flamengo,Corinthians,São Paulo,Palmeiras,Portuguesa,Guarani,Coritiba,Operário Ferroviário
60,Palmeiras,Flamengo,Corinthians,Grêmio Prudente,Atlético Goianiense,Cruzeiro,Athletico Paranaense,Santos
61,Palmeiras,Fluminense,Flamengo,Corinthians,Sport,Internacional,CSA,Grêmio Prudente
62,Flamengo,Corinthians,Palmeiras,Vitória,Botafogo-SP,Goiás,Cuiabá,América Mineiro
63,Palmeiras,Flamengo,Corinthians,Internacional,Santos,Atlético Goianiense,Portuguesa,Bahia
64,Palmeiras,Cruzeiro,Flamengo,Volta Redonda,Cuiabá,Ponte Preta,Vasco da Gama,Ceará
65,Flamengo,Palmeiras,Corinthians,Atlético Mineiro,Santos,Botafogo,Ferroviário,Figueirense
66,Flamengo,Palmeiras,Corinthians,Fluminense,Coritiba,Brasil de Pelotas,Volta Redonda,Vitória
67,Corinthians,Internacional,Flamengo,Cruzeiro,Coritiba,Guarani,Grêmio Prudente,São Caetano
68,Palmeiras,Flamengo,Corinthians,São Paulo,Goiás,Santos,Cruzeiro,Sampaio Corrêa
69,Flamengo,Palmeiras,Corinthians,Grêmio,Mirassol,América de Natal,Red Bull Bragantino,Grêmio Barueri
70,Palmeiras,Flamengo,São Paulo,Corinthians,Fluminense,Athletico Paranaense,Fortaleza,Operário Ferroviário
71,Flamengo,Palmeiras,Corinthians,Brasil de Pelotas,Sport,Ponte Preta,Cuiabá,Fluminense
72,Corinthians,Palmeiras,Flamengo,Internacional,Vitória,Grêmio Barueri,São Caetano,Guarani
73,Flamengo,Palmeiras,Cruzeiro,São Paulo,Internacional,Londrina,Sampaio Corrêa,Grêmio Prudente
74,Flamengo,Palmeiras,Corinthians,CSA,Mirassol,Grêmio Barueri,Figueirense,Vitória
75,Flamengo,Palmeiras,Cuiabá,Corinthians,Athletico Paranaense,Coritiba,Atlético Mineiro,Botafogo-SP
76,Flamengo,Palmeiras,Corinthians,Avaí,Ferroviário,Santa Cruz,Paraná,Cuiabá
77,Flamengo,Corinthians,Palmeiras,Grêmio,Brasil de Pelotas,Ypiranga-RS,Mirassol,Grêmio Prudente
78,Flamengo,Palmeiras,Corinthians,CSA,Grêmio,Sport,Athletico Paranaense,Chapecoense
79,Palmeiras,Atlético Mineiro,Corinthians,Flamengo,América de Natal,Londrina,Internacional,Cruzeiro
80,Palmeiras,Flamengo,Corinthians,São Paulo,Grêmio,Vasco da Gama,Cuiabá,Goiás
